Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
Phywa pa Chos kyi seng ge,Theg chen mdo sde rgyan gyi lus rnam bzhag,Theg pa chen po mdo sde rgyan gyi lus rnam bzhag,16,16,1_007_07,15854,,Phywa pa Chos kyi seng ge,dGe slong chos kyi seng+ge,,bru tsha,no place,Perfection of wisdom,tsha,tsha,60,60,65 x 10,
Phywa pa Chos kyi seng ge,Tshad ma rnam par nges pa'i bsdus don,-,13,,1_008_01,-,,Phywa pa Chos kyi seng ge,,,,PLACE - TEXT ONLY RELATION Bri'u las gtsug lag khang,Epistemology,-,-,-,-,,rGyal rtse
Phywa pa Chos kyi seng ge,Tshad ma rnam par nges pa’i ‘grel ba,Tshad ma rnam par nges pa’i ‘grel bshad yi ge dang rig pa'i gnad la 'jug pa'i shes rab kyi 'od zer ,197,197,1_008_02,16330,,Phywa pa Chos kyi seng ge,Rigs par smra ba'i dge slong chos kyi seng ge,,bru tsha,no place,Epistemology,zha,zha,11,11,64 x 10.2,
Phywa pa Chos kyi seng ge,Tshad ma yid kyi mun sel,Tshad ma yid kyi mun sel,96,,1_008_03,16329,,Phywa pa Chos kyi seng ge,dGe slong chos kyi seng+ge,,bru tsha,,Epistemology,zha,zha,11,21,64 x 10.2,
Phywa pa Chos kyi seng ge,bDe bar gshegs pa dang phyi rol pa'i gzhung rnam par 'byed pa,,33,,1_009_01,,,Phywa pa Chos kyi seng ge,,,,,Doxography,,,,,,
Phywa pa Chos kyi seng ge,So thar mdo’i ‘grel ba,So so thar pa'i mdo’i ‘grel ba,79,79,1_009_02,16154,,Phywa pa Chos kyi seng ge,Phywa chos kyi seng ge,,bru tsha,,Monastic rules,wa,wa,10,10,70 x 11.5,
Phywa pa Chos kyi seng ge,‘Od ldan zhes bya ba’i ṭikka tshig don rab gsal,Dul ba ‘od ldan zhes bya ba’i tshig don rab gsal,140,21,1_009_03,16172,,Phywa pa Chos kyi seng ge,sh+'akya'i dge slong chos kyi seng +ge,,bru tsha,no place,Monastic rules,wa,wa,12,13,50 x 7.8,
Phywa pa Chos kyi seng ge,dGe tshul rnams kyi bslab pa’i rim pa ston pa’i rnam bshad,Thams cad yod par smra ba'i dge tshul rnams kyi bslab pa’i rim pa ston pa’i rnam par bshad pa,33,33,1_009_04,16227,,Phywa pa Chos kyi seng ge,Phy+'a pa chos kyi seng ge,,bru tsha,no place,Monastic rules,wa,wa,30,30,66 x 8,
Khu Shes rab brtson ‘grus,Shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtags pa'i rgyan gyi 'grel ba'i tshig dang don gsal bar bshad,Shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan ces bya ba'i 'grel pa tshig don rab gsal,161,161,1_010_01,15733,,Khu Shes rab brtson ‘grus,sh+'akya'i dge slong shes rab brtson 'grus,,dpe tshugs,,Perfection of wisdom,tsha,tsha,10,10,64 x 9,
‘Jad pa gZhon nu byang chub,Sher phyin rgyas 'bring bsdus gsum gyi bshad pa,rTogs dka' mdo'i tshigs don gyi bzhad pa ,159,158,1_010_02,19045,http://purl.bdrc.io/resource/MW1PD89051_F79513,‘Jad pa gZhon nu byang chub,Sh+'akya'i dge slong gzhon nu byang chub,,bru tsha,no place,Perfection of wisdom,la,la,426,426,66 x 10.5,Combined with text 1_010_03 in Drepung Cat?
‘Jad pa gZhon nu byang chub,"bla ma la bstod pa (f. 108a3, incipit); shag kya’i dge’ slong gzhon nu byang chub la bstod pa (f. 108a5, colophon)",rTogs dka' mdo'i tshigs don gyi bzhad pa ,1,158,1_010_03,19045,http://purl.bdrc.io/resource/WA0XL2735C7D77EDF,‘Jad pa gZhon nu byang chub,Sh+'akya'i dge slong gzhon nu byang chub,,bru tsha,no place,Eulogy,la,la,426,426,67 x 10.5,Combined with text 1_010_02 in Drepung Cat?
Pa tshab Lo tsā ba Nyi ma grags,dBu ma rtsa ba’i ‘grel ba,dBu ma rtsa ba shes rab kyi ‘grel ba,88,88,1_011_01,15415,,Pa tshab Lo tsā ba Nyi ma grags,sLob dpon pa tshab kyis sbyar,,bru tsha,no place,Madhyamaka,tsa,tsa,24,24,60.5 x 10,
Pa tshab Lo tsā ba Nyi ma grags,bZhi brgya pa’i bsdus don,rNal 'byor spyod pa bzhi brgya pa’i bsdus don,5,5,1_011_02,15516,,Pa tshab Lo tsā ba Nyi ma grags,Bod kyi lo ts+'a ba pa tshab nyi ma grags,,bru tsha,no place,Madhyamaka,tsa,tsa,57,(5)7,66.5 x 9,
Bya ‘Chad kha ba Ye shes rdo rje,Bya ‘Chad kha ba’i grub mtha’ chen mo,-,14,,1_011_03,-,,Bya ‘Chad kha ba Ye shes rdo rje,,,,chu shul,Doxography,-,,-,,-,rGyal rtse
Bya ‘Chad kha ba Ye shes rdo rje,Bya ‘Chad kha ba’i gsung sgros thor bu,-,9,,1_011_04,-,,Bya ‘Chad kha ba Ye shes rdo rje,,,,no place,,-,,-,,-,Sera
Bya ‘Chad kha ba Ye shes rdo rje,Blo sbyong don bdun ma'i rtsa ba,Blo sbyong don bdun ma'i rtsa 'grel,1,9,1_011_05,855?,,Bya ‘Chad kha ba Ye shes rdo rje,‘Chad kha ba sogs kyis mdzad,,shing dpar,,Mind training,nang,la,243,34,,Needs more research
Bya ‘Chad kha ba Ye shes rdo rje,Blo sbyong glang thang pa'i tshig rkang brgyad ma'i 'grel pa,Blo sbyong glang thang pa'i tshig rkang brgyad ma'i 'grel pa dge bshes bya chad ka ba ye shes rdo rje mdzad pa,13,13,1_011_06,76,,Bya ‘Chad kha ba Ye shes rdo rje,Bya ‘Chad ka ba Ye shes rdo rje,,dpe tshugs,,Mind training,nang,,9,,22 x 8,
Bya ‘Chad kha ba Ye shes rdo rje,Rom po'i bshad pa'i gdams ngag zhes pa,Ram po'i bshad pos bshad pa'i gdams ngag,3,3,1_011_07,18427,,Bya ‘Chad kha ba Ye shes rdo rje,mChad kha bas snang ba'o ,,bru tsha,,,la,la,,209,66 x 11,
sPar phu ba Blo gros seng ge,Blo gros dri ma med pa'i snang ba,Blo gros dri ma med pa'i snang ba zhes bya ba'i lam gyi rim pa,39,29,1_011_08,18965,,sPar phu ba Blo gros seng ge,Blo gros seng+ge mdzad pa,,bru tsha,,Stages of the path,la,la,398,378/398,35 x 11.5,"Appears to come from same collection as Drepung #18966 by sPar phu
Same mss as 3_069_01"
sPar phu ba Blo gros seng ge,dho ha mdzod kyi sgo dbye ba’i sgron ma lhan cig skyes pa’i snang ba,mDzod kyi gnas gsal bar byed pa zla ba' 'od zer,22,38,1_011_09,16070,,sPar phu ba Blo gros seng ge,dGe slong blo gros seng+ge sbyar,,bru tsha,,Songs of realization,dza,dza,8,8,64x10,Made up of 1_011_09 + 10 + 11
sPar phu ba Blo gros seng ge,bTsun mo do ha’i ‘grel bshad snying po rnam par nges pa,mDzod kyi gnas gsal bar byed pa zla ba' 'od zer,10,38,1_011_10,16070,,sPar phu ba Blo gros seng ge,,,,,Songs of realization,dza,dza,8,8,64x10,Made up of 1_011_09 + 10 + 11
sPar phu ba Blo gros seng ge,rGyal po do ha’i tshigs su bcad pa bzhi bcu pa’i ‘grel bshad zla ba’i ‘od zer,mDzod kyi gnas gsal bar byed pa zla ba' 'od zer,7,38,1_011_11,16070,,sPar phu ba Blo gros seng ge,,,,,Songs of realization,dza,dza,8,8,64x10,Made up of 1_011_09 + 10 + 11
sPar phu ba Blo gros seng ge,rGyal po do ha’i tshigs su bcad pa bzhi bcu pa’i ‘grel bshad zla ba’i ‘od zer,rGyal po do ha tshigs su bcad pa bcu bzhi pa’i ‘grel bshad zla ba’i ‘od zer,17,17,1_011_12,6879,,sPar phu ba Blo gros seng ge,dGe slong Blo gros seng ge,,dpe tshugs,no place,Songs of realization,ma,ma,117,117,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,bTsun mo do ha tshigs su bcad brgyad cu pa’i bsdus don,bTsun mo d+ho ha tshigs su bcad brgyad cu pa’i bsdus don,3,3,1_011_13,6881,,sPar phu ba Blo gros seng ge,dGe slong Blo gros seng ge,,dpe tshugs,no place,Songs of realization,ma,ma,117,114/117,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,bTsun mo do ha’i ‘grel bshad snying po rnam par nges pa,bTsun mo d+ho ha 'grel bshad snying po rnam par nges pa,25,25,1_011_14,6882,,sPar phu ba Blo gros seng ge,dGe slong Blo gros seng ge,,dpe tshugs,no place,Songs of realization,ma,ma,117,114/117,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,‘Khor ‘das kyi chos thams cad blta ba’i me long lde,,24,,1_011_15,,,sPar phu ba Blo gros seng ge,,,,no place,dependent arising,,ma/la,,345,,
sPar phu ba Blo gros seng ge,‘Brel ‘jug zhes pa,,4,4,1_011_16,6885,,sPar phu ba Blo gros seng ge,dGe slong Blo gros seng ge,,dpe tshugs,no place,Propitiation,ma,ma,117,114/117,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
gNyal zhig ‘Jam dpal rdo rje,"Phar phyin gyi ‘grel ba; colophon: mngon par rtogs pa'i rgyan gyi 'grel bshad theg pa chen po la 'jug pa; theg pa chen po la ’jug pa (f. 1b1, incipit)",mNgon par rtogs pa'i rgyan gyi 'grel pa,244,244,1_012_01,15820,,gNyal zhig ‘Jam dpal rdo rje,Yul dbus kyi slob dpon 'jam pa'i rdo rje,,dpe tshugs,no place,Perfection of wisdom,tsha,tsha,48,48,64 x 10,
gTsang nag pa brTson ‘grus seng ge,Tshad ma rnam nges kyi ‘grel ba,,210,,1_013_01,,,gTsang nag pa brTson ‘grus seng ge,,,,no place,Epistemology,,,,,,Otani
gTsang nag pa brTson ‘grus seng ge,(gsar bsgrigs kyi dkar chag),,8,,1_013_02,,,gTsang nag pa brTson ‘grus seng ge,,,,no place,Perfection of wisdom,,,,,,Tshul khrims rgyal mtshan
gTsang nag pa brTson ‘grus seng ge,bsTan pa la byi dor bya ba,,5,,1_013_03,,,gTsang nag pa brTson ‘grus seng ge,,,,no place,Great vehicle,,,,,,Tshul khrims rgyal mtshan
gTsang nag pa brTson ‘grus seng ge,bZhi brgya pa’i dka’ gnad bshad pa,,6,,1_013_04,,,gTsang nag pa brTson ‘grus seng ge,,,,no place,Madhyamaka,,,,,,#15550 is titled dbu ma bzhi brgya pa'i spyi don - 6 folios. Same text?
gTsang nag pa brTson ‘grus seng ge,sPyod ‘jug gi rnam bshad,,47,,1_013_05,,,gTsang nag pa brTson ‘grus seng ge,,,,no place,Madhyamaka,,,,,,rGyal rtse dpal 'khor chos sde
gTsang nag pa brTson ‘grus seng ge,sDom pa nyi shu pa’i ‘grel ba. Colophon: byang chub sems dpa'i sdom pa nyi shu pa'i bshad pa tshig don gsal ba,Byang chub sems dpa'i sdom pa nyi shu pa'i 'grel ba,7,12,1_013_06,19529,,gTsang nag pa brTson ‘grus seng ge,Mang du thos pa'i dGe slong brtson 'grus seng ge,,dpe tshugs,no place,Monastic rules,la,la,542,510,47 x 8,same text as #19827. Neither correspond to bundle # in KDSB
gTsang nag pa brTson ‘grus seng ge,sDom pa nyi shu pa’i ‘grel ba. Colophon: byang chub sems dpa'i sdom pa nyi shu pa'i bshad pa tshig don gsal ba,Byang chub sems dpa'i sdom pa nyi shu pa'i 'grel ba,7,12,,19827,,gTsang nag pa brTson ‘grus seng ge,Mang du thos pa'i dGe slong brtson 'grus seng ge,,bru tsha,no place,Monastic rules,la,la,571,510,62 x 10,same text as #19529. Neither correspond to bundle # in KDSB
gTsang nag pa brTson ‘grus seng ge,Byang chub tu sems bskyed pa’i spyi mthun,Byang chub tu sems bskyed pa’i spyi don,13,13,1_013_07,13663,,gTsang nag pa brTson ‘grus seng ge,dGe slong brTson ‘grus seng ge,,bru tsha,rtsom ldan phyag ris,bodhicitta,ma,ma,1025,1025,42 x 6,
gTsang nag pa brTson ‘grus seng ge,sKyabs ‘gro’i spyi mthun,sKyabs ‘gro’i spyi don,11,11,1_013_08,13662,,gTsang nag pa brTson ‘grus seng ge,dGe slong brTson ‘grus seng ge,,bru tsha,no place,refuge,ma,ma,1025,1025,42 x 6,
gTsang nag pa brTson ‘grus seng ge,Byang chub sems dpa'i sa'i dka' 'grel,Byang chub sems dpa'i pa'i dka' 'grel,48,48,1_013_09,19039,,gTsang nag pa brTson ‘grus seng ge,gTsang nag pa,,bru tsha,no place,,la,la,423,423,66 x 10,
rMa bya Byang chub brtson ‘grus,dBu ma rigs pa’i tshogs kyi de kho na nyid snang ba - rtsa ba,,2,,1_013_10,,,rMa bya Byang chub brtson ‘grus,,,,,Madhyamaka,,tsha,,24,,
rMa bya Byang chub brtson ‘grus,dBu ma rig pa'i tshogs kyi rgyan de nyid snang ba,dBu ma rig tshogs kyi rgyan de kho na nyid snang ba,34,34,1_013_11,15589,,rMa bya Byang chub brtson ‘grus,Sh+'akya'i dge slong byang chub brtson 'grus,,bru tsha,no place,Madhyamaka,tsa,tsa,84,84,70 x 10.5,
‘Jam gsar ba Shes rab ‘od zer,sPring yig baiḍūrya’i phreng ba zhes bya ba,sPring yig baiḍūrya’i phreng ba zhes bya ba 'jam dbyangs gsar mas mdzad pa,4,4,1_014_01,19912,http://purl.bdrc.io/resource/WA0XLB5DB71C5E072,‘Jam gsar ba Shes rab ‘od zer,Jam dbyangs gsar ma,,dpe tshugs,no place,Letters,la,-,590,-,-,"Contained in a modern typeset edition (2014) of 'Jam gsar ba's works: https://library.bdrc.io/show/bdr:WA8LS18967?tabs=bdr:MW8LS18967,bdr:W8LS18967"
‘Jam gsar ba Shes rab ‘od zer,mNgon rtogs rgyan gyi ‘grel ba ‘thad pa’i ‘od ‘bar,mNgon rtogs rgyan gyi ‘grel bshad ‘thad pa’i ‘od ‘bar,185,185,1_014_02,15949,http://purl.bdrc.io/resource/MW8LS18967,‘Jam gsar ba Shes rab ‘od zer,Sh+'akya'i dge slong rig pa smra ba shes rab 'od zer ,Shes rab 'bum,bru tsha,no place. (ri bo gangs can…),Perfection of wisdom,tsha,tsha,103,103,44.4 x 8.2,"Contained in a modern typeset edition (2014) of 'Jam gsar ba's works: https://library.bdrc.io/show/bdr:WA8LS18967?tabs=bdr:MW8LS18967,bdr:W8LS18968"
bSod nams seng ge,dBu ma rtsa ba'i rnam par bshad pa srog gi 'khor lo,dBu ma rtsa ba'i rnam bshad rdzogs so,99,99,1_014_03,15440,,bSod nams seng ge,Thos pa 'dzin pa'i dge slong bsod nams seng ge,,bru tsha,dpal gsang phu ne'u thog gi chos grwa,Madhyamaka,tsa,tsa,35,35,50 x 9.9,
sGros rnying pa ‘od zer mgon po,mNgon par rtogs pa’i rgyan gyi rnam par ‘byed pa’i ‘grel ba,mNgon rtogs rgyan rnam par ‘byed pa’i ‘grel ba,148,148,1_015_01,15479,,sGros rnying pa ‘od zer mgon po,Od zer mgon po,,dpe tshugs,gsang phu ne'u thog gi gtsug lag khang,Perfection of wisdom,tsa,tsa,44,44,64.2 x 9.8,
gSang phu Blo gros mtshungs med,sPyod ‘jug rnam bshad rin chen snang ba,Byang chub sems dpa'i spyod pa la 'jug pa'i de kho na nyid gsal bar byed pa rin po che'i snang ba,155,160,1_015_02,15557,,gSang phu Blo gros mtshungs med,gSang phu blo gros mtshungs med,,dBu can,no place,Madhyamaka,tsa,tsa,73,73,46 x 9,
gSang phu Blo gros mtshungs med,bsNgo ba yon bshad kyi stong thun,bsNgo ba yon bshad kyi stong thun | Mo lha zhugs pa'i dbu phyogs lags so |,2,2,1_015_03,18749,,gSang phu Blo gros mtshungs med,Blo gros mtshungs med,,dpe tshugs,gsang phu ne'u thog gi chos gra chen po,Prayer,la,la,351,351,49 x 8.3,
gSang phu Blo gros mtshungs med,Theg pa rin po che gsal byed rin po che'i rgyan snang,Theg pa chen po'i gsal byed rin po che'i rgyan snang,303,313,1_016_01,17869,,gSang phu Blo gros mtshungs med,Rig pa smra ba blo gros mtshungs med,,bru tsha,chos gra chen po bde ba can ,Great vehicle,la,la,29,29,44 x 8.1,
gSang phu Blo gros mtshungs med,rGyud bla ma'i bstan bcos kyi nges don gsal bar byed pa rin po che'i sgron me,,341,,1_017_01,,,gSang phu Blo gros mtshungs med,,,,no place,Buddha Nature,,,,,,"The version in the 2006 KDSB publication matches the version published in 1975 (MW465) - according to the publication statement, this is a copy of a manuscript held at the library of ri bo che rje drung rin po che of padma bkod"
‘Jam dbyangs Rin chen grags,mDo rgyan gyi legs bshad bstan pa’i nyi ma,Theg pa chen po mdo sde rgyan gyi legs bshad bstan pa'i nyi ma,160,160,1_018_01,15845,,‘Jam dbyangs Rin chen grags,Lung rig smra ba'i dge slong 'jam rin gyis,,dpe tshugs,dBe ba cen,Perfection of wisdom,tsha,tsha,59,59,47 x 8.2,
Unknown,Theg bsdus kyi rnam bshad,Theg bsdus kyi rnam bshad,82,82,1_018_02,15973,,Anonymous,not clear,,dpe tshugs,no place,Great vehicle,tsha,tsha,113,113,67 x 9,Same text as 3_068_01 and 4_110_05
‘Chus Dar ma brtson ‘grus,Nyi khri dang sbyar ba mngon rtogs rgyan gyi ṭikka,-,108,,1_019_01,Sera,http://purl.bdrc.io/resource/WA0XL85189C9DCDC5,‘Chus Dar ma brtson ‘grus,-,,,no place,Perfection of wisdom,-,,,Sera,,
Unknown,dbu ma la 'jug pa'i bsdus don,dbu ma 'jug pa'i sa bcad,6,6,1_019_02,15703,,Anonymous,Unclear in colophon,,dpe tshugs,no place,Madhyamaka,tsa,tsa,119,114?,67 x 9,
rGya dmar ba Byang chub grags,bDen gnyis rnam bshad ṭīkka dang bcas pa,dBu ma'i rnam bshad bzhugs pa lags so,45,44,1_019_03,15618,http://purl.bdrc.io/resource/MW1PD89051,rGya dmar ba Byang chub grags,no name given,,dpe tshugs,no place,Madhyamaka,tsa,tsa,94,74,84 x 8,
Unknown,dBu ma'i man ngag gi bshad pa,dBu ma'i man ngag gi bshad pa,9,9,1_019_04,15617,,Anonymous,unknown,,dpe tshugs,no place,Madhyamaka,tsa,tsa,94,74,84 x 8,
Unknown,dBu ma bden gnyis kyi ‘bum,bden gnyis kyi 'bum zhes pa jo bo'i dbu ma bden gnyis kyi 'grel ba,18,18,1_019_05,15400,,Anonymous,no name given,,bru tsha,dpal brag ram gyi gtsug lag khang,Madhyamaka,tsa,tsa,22,82,64 x 9,
Unknown,dBu ma’i man ngag gi ‘bum,dBu ma’i man ngag gi ‘bum,16,16,1_019_06,15401,,Anonymous,no name given,,bru tsha,brag raM gyi gtsug lag khang,Madhyamaka,tsa,tsa,22,82,65 x 10,
Brag ram pa Shes rab ‘bum,dBu ma rtsa ba’i bshad pa ‘thad pa rnam par nges pa,Rigs tshogs kyi rgyan ‘thad pa rnam par nges pa,58,58,1_019_07,15403,,Brag ram pa Shes rab ‘bum,dGe slong shes rab 'bum,,shing dpar,,Madhyamaka,tsa,tsa,22,88,65 x 10,
Brag ram pa Shes rab ‘bum,dBu ma rtsa ba'i 'grel pa tshig gsal gyi bshad pa nges don rnam par gzigs pa,dBu ma rtsa ba'i 'grel pa tshig gsal ba'i bshad pa nges don rnam par gzigs pa,32,32,1_019_08,15548,,Brag ram pa Shes rab ‘bum,Sh+'akya'i dge slong shes rab 'bum,,bru tsha,,Madhyamaka,tsa,tsa,65,65,67 x 10,
Brag ram pa Shes rab ‘bum,‘Dul ba’i sdom tshig,‘Dul ba’i sdom tshig bsdus don gsal byed me long,8,8,1_019_09,16269,,Brag ram pa Shes rab ‘bum,Sangs rgyas bzang po'i bslab bya,,dpe tshugs,dpal nags rgyal gyi dben gnas dkar leb,Monastic rules,wa,wa,47,4,33.4 x 7.6,Same as 3_079_05 (same Drepung Cat#)
Brag ram pa Shes rab ‘bum,gNas lugs ngo sprod kyi gdams pa,Zab lam thog mar dge ba'i khrid kyi ngo sprod,22,22,1_019_10,239,,Brag ram pa Shes rab ‘bum,Sh+'akya'i dge slong shes rab 'bum,,dpe tshugs,no place,Kalacakra,ka,ka,47,46,41 x 8,
Brag ram pa Shes rab ‘bum,dPal dus kyi 'khor lo'i sgrub thabs rnam 'byor bcu gnyis pa,dPal dus kyi 'khor lo'i sgrub thabs rnal 'byor bcu gnyis pa,16,16,1_019_11,27,,Brag ram pa Shes rab ‘bum,Sh+'akya'i dge slong shes rab 'bum,,bru tsha,"general places (gangs can, etc)",Kalacakra + Propitiation,ka,ka,6,6,36 x 8,
Rin chen ye shes,rGyud bla ma'i 'grel pa mdo dang sbyar ba nges pa'i don gyi snang ba,rGyud bla ma'i 'grel pa mdo dang sbyar ba nges don gyi snang ba,212,202,1_020_01,16014,,Rin chen ye shes,Rin chen ye shes,,dpe tshugs,dben pa'i gnas,Buddha Nature,tsha,tsha,122,125,41 x 7.5,Other version: 19019
Rin chen ye shes,rGyud bla ma'i 'grel pa mdo dang sbyar ba nges pa'i don gyi snang ba,rGyud bla ma'i 'grel pa mdo dang sbyar ba nges pa'i don gyi snang ba,212,271,,19019,,Rin chen ye shes,Theg pa chen po la mos pa cung zad thob pa rin chen ye shes,,dpe tshugs,dben pa'i gnas,Buddha Nature,la,tsha,417,125,32.5 x 8,Other version: 16014
dGe ‘dun ‘od zer,rGyud bla ma’i ‘grel ba don dam rnam nges bsdus pa’i snying po,Theg pa chen po rgyud bla ma’i rnam bshad don dam rnam par nges pa’i snying po'i snying po,57,57,1_020_02,16006,,dGe ‘dun ‘od zer,dGe ‘dun ‘od zer,,dpe tshugs,dben pa'i gnas,Buddha Nature,tsha,tsha,122,122,48 x 8.5,
gZhon nu rin chen,mNgon par rtogs pa'i rgyan gyi 'grel ba bcud kyi thig le,mNgon rtogs rgyan gyi 'grel ba bcud kyi thig le,149,149,1_021_01,15986,,gZhon nu rin chen,Mang du thos pa'i dge slong gzhon nu rin chen,,bris ma dbu can,no place ,Perfection of wisdom,tsha,tsha,116,116,68 x 10.5,
gZhon nu rin chen,Slab pa kun las btus pa’i ṭikka,Slab pa kun las btus pa’i ṭikka,91,91,1_021_02,15506,,gZhon nu rin chen,Nyang gi slob ma,,bru tsha,no place of composition,Madhyamaka,tsha,tsa,54,54,66 x 9.5,
rNal ‘byor pa Shes rab rdo rje,bDen gnyis kyi rnam par bshad pa,bDen pa gnyis kyi rnam par bshad pa,55,55,1_021_03,15556,,rNal ‘byor pa Shes rab rdo rje,dGe bshes po to ba'i slob ma rNal ‘byor pa Shes rab rdo rje,,bru tsha,no place,Madhyamaka,tsa,tsa,73,73,42 x 10,
shwara ratna / dbang phyug rin chen,dBu ma chen po'i man ngag,dBu ma chen mo'i man ngag gi dbu ma'i phyogs,12,12,1_022_01,15454,,shwara ratna / dbang phyug rin chen,no name given,,dpe tshugs,PLACE - TEXT ONLY RELATION rGyan dkar phug/khug? + Chos 'khor bSam yas,Madhyamaka,tsa,tsa,34,73,46 x 8.5,BDRC recognises the author as Ye shes rgyal mtshan (P3718)
Unknown,dBu ma la brten pa’i zhal gdams zla zer snying po,dBu ma la brten pa’i zhal gdams zla zer snying po,5,5,1_022_02,15456,,Anonymous,no name given,,bru tsha,no place,Madhyamaka,tsa,tsa,37,73,34 x 6.5,
Śākya dge slong Ye shes rgyal mtshan,sDud pa tshigs su bcad pa'i bshad sbyar,sDud pa tshigs su bcad pa'i bshad sbyar ye shes zhabs kyi dgongs pa 'khrul med,40,40,1_022_03,15790,,Śākya dge slong Ye shes rgyal mtshan,Śākya dge slong Ye shes rgyal mtshan,,bru tsha,no place,Perfection of wisdom,tsha,tsha,40,40,61 x 10,
bSod nams rgyal mtshan,Theg pa chen po mdo sde rgyan gyi dka’ gnas bshad pa,Theg pa chen po'i mdo sde rgyan gyi dka’ gnad bshad pa,97,97,1_022_04,15906,,bSod nams rgyal mtshan,Śākya’i dge slong bSod nams rgyal mtshan,,dpe tshugs,gtsang dge'i 'byung gnas pa tshab dgon pa ,Perfection of wisdom,tsha,tsha,89,89,none given,
Śākya’i dge slong Chos grags,rGyal ba'i yum bsdus pa brgyad stong pa'i rnam par bshad pa,rGyal yum bsdus pa'i rnam bshad,102,102,1_022_05,19044,,Śākya’i dge slong Chos grags,Śākya’i dge slong Chos kyi grags pa,,bru tsha,no place,Perfection of wisdom,la,la,426,426,102,
Shes rab mtha' can,Sher phyin skabs brgyad pa’i rnam bshad,Phar phyin skabs brgyad pa'i rnam par bshad,188,188,1_023_01,15804,,Anonymous,Shes rab mtha' can?,,bru tsha,no place,Perfection of wisdom,tsha,tsha,44,44,70 x 10.5,"She rab mtha' can is confirmed as the author in the editor's introduction (https://library.bdrc.io/show/bdr:WA0XLA1CA8E3EBC0B?tabs=bdr:MW1PD89051_A1CA8E)
If Shes rab mtha' can is the author - it's the only work in the Drepung Catalogue by this person"
Unknown,rGyal ba’i yum yon tan rin po che sdud pa’i bsdus don,mDo bsdud pa'i Tik+ka ,29,34,1_023_02,18521,,Anonymous,dMyal lde'i jo sras,,bru tsha,no place,Perfection of wisdom,la,la,253,253,,Part of 1_023_03
Unknown,rGyal ba’i yum yon tan rin po che sdud pa’i bsdus don,Sa bcad zhig kyang bzhugs,5,34,1_023_03,18521,,Anonymous,dMyal lde'i jo sras,,bru tsha,no place,Perfection of wisdom,la,la,253,253,,Part of 1_023_02
Zhang ‘Bal tshad ma pa,Sher phyin mngon rtogs rgyan gyi 'grel pa'i brjed byang zhal rgyun gyi gdams pa,Shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos kyi 'grel pa'i brjed byang bla ma'i zhal rgyun gdams pa,71,71,1_023_04,19010,,Zhang ‘Bal tshad ma pa,Zhang ‘Bal tshad ma ba,,bru tsha,no place,Perfection of wisdom,la,la,415,415,68.5 x 10.5,
Unknown,Dri ma med pa'i 'od ces bya ba bden gnyis kyi rnam bshad rgyas pa,Dri ma med pa'i 'od ces bya ba | bden gnyis rnam bshad rgyas pa rje lung pa'i gsung,227,267,1_024_01,19565,,Anonymous,no name given - but the title suggests rJe lun pa,,dpe tshugs,no place,Madhyamaka,la,la,546,546,23 x 7.5,No other work by rJe lun pa listed in Drepung cat
Byang chub skyabs,bSlab btus kyi sa bcad,bSlab btus kyi sa bcad,21,21,1_025_01,16089,,Byang chub skyabs,Sh+'akya'i dge slong byang chub skyabs,,dpe tshugs,no place,Madhyamaka,dza,dza,18,18,55.5 x 8,Stoltz (2020) has identified a Byang chub skyabs as a contemporary of Phya pa - posits this could be the same person
Byang chub skyabs,bSlab pa kun btus kyi rnam bshad,Byang chub sems dpa'i bslab pa kun las btus pa'i 'grel bshad rin chen sgron me,202,226,1_025_02,16090,,Byang chub skyabs,Sh+'akya'i dge slong byang chub skyabs,,dpe tshugs,no place,Madhyamaka,dza,dza,18,18,55 x 8,Stoltz (2020) has identified a Byang chub skyabs as a contemporary of Phya pa - posits this could be the same person
Anonymous,mDo sde rgyan rtsa ba'i le'u nyi shu rtsa gcig pa le phran brgyad cu gya brgyad rnam par bshad pa,Theg pa chen po mdo sde rgyan rgyan gyis Ti k+ka,98,92,1_025_03,15948?,,Anonymous,,,,no place,Perfection of wisdom,tsha,tsha,102,102,,
